id,user_pattern,departure_station,arrival_station,arrival_day,arrival_time,purchase_day,service,service_departure_time,service_arrival_time,seat,price,utility,best_service,best_seat,best_utility
2594,Student,04040,71801,2023-09-06,23.70988045805013,1,03143_06-09-2023-14.30,14.5,18.416666666666668,Básico,83.15,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
2595,Business,04040,71801,2023-09-06,8.929721284867565,3,,,,,,,03073_06-09-2023-07.30,Premium,98.6
2596,Student,04040,71801,2023-09-06,15.704130060557867,0,03143_06-09-2023-14.30,14.5,18.416666666666668,Elige,80.45,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
2597,Student,04040,71801,2023-09-06,19.09265755582462,1,03143_06-09-2023-14.30,14.5,18.416666666666668,Básico,83.15,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
2598,Tourist,04040,71801,2023-09-06,22.75501204550379,11,03203_06-09-2023-20.40,20.666666666666668,23.916666666666668,Básico,18.9,51.13333333333334,03203_06-09-2023-20.40,Básico,51.13333333333334
2599,Business,04040,71801,2023-09-06,8.343817787269145,5,03063_06-09-2023-06.30,6.5,9.333333333333334,Básico,37.8,80,03073_06-09-2023-07.30,Premium,98.6
26,Student,60000,04040,2023-09-06,21.833330544295947,0,03163_06-09-2023-16.30,16.5,20.466666666666665,Elige,66.25,24.913125,03143_06-09-2023-14.30,Básico,25.86640625
260,Business,60000,04040,2023-09-06,8.17986607699692,2,,,,,,,03073_06-09-2023-07.30,Básico,98.6
2600,Student,04040,71801,2023-09-06,14.692764618327907,0,03143_06-09-2023-14.30,14.5,18.416666666666668,Elige,80.45,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
2601,Business,04040,71801,2023-09-06,9.541383689724672,3,,,,,,,03073_06-09-2023-07.30,Premium,98.6
2602,Tourist,04040,71801,2023-09-06,22.6946024080439,8,03183_06-09-2023-18.30,18.5,21.333333333333332,Básico,45.35,47.225,03203_06-09-2023-20.40,Básico,51.13333333333334
2603,Tourist,04040,71801,2023-09-06,11.005239761273494,5,03183_06-09-2023-18.30,18.5,21.333333333333332,Elige,50.25,47.225,03203_06-09-2023-20.40,Básico,51.13333333333334
2604,Business,04040,71801,2023-09-06,8.587909868958873,5,03063_06-09-2023-06.30,6.5,9.333333333333334,Básico,37.8,80,03073_06-09-2023-07.30,Premium,98.6
2605,Tourist,04040,71801,2023-09-06,17.92109894687494,7,03183_06-09-2023-18.30,18.5,21.333333333333332,Básico,45.35,47.225,03203_06-09-2023-20.40,Básico,51.13333333333334
2606,Student,04040,71801,2023-09-06,17.529194833533673,1,03143_06-09-2023-14.30,14.5,18.416666666666668,Básico,83.15,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
2607,Business,04040,71801,2023-09-06,9.00287169553338,6,03063_06-09-2023-06.30,6.5,9.333333333333334,Premium,64.25,98.5,03073_06-09-2023-07.30,Premium,98.6
2608,Business,04040,71801,2023-09-06,6.253891799923313,2,,,,,,,03073_06-09-2023-07.30,Premium,98.6
2609,Tourist,04040,71801,2023-09-06,17.845847216372686,14,03203_06-09-2023-20.40,20.666666666666668,23.916666666666668,Básico,18.9,51.13333333333334,03203_06-09-2023-20.40,Básico,51.13333333333334
261,Student,60000,04040,2023-09-06,15.500886937177885,1,03153_06-09-2023-15.30,15.5,18.7,Básico,58.9,25.5721875,03143_06-09-2023-14.30,Básico,25.86640625
2610,Tourist,04040,71801,2023-09-06,10.1779083722401,8,03183_06-09-2023-18.30,18.5,21.333333333333332,Básico,45.35,47.225,03203_06-09-2023-20.40,Básico,51.13333333333334
2611,Business,04040,71801,2023-09-06,9.534008981728434,4,03073_06-09-2023-07.30,7.5,10.7,Básico,45.35,78.6,03073_06-09-2023-07.30,Premium,98.6
2612,Business,04040,71801,2023-09-06,7.597936314175748,6,03063_06-09-2023-06.30,6.5,9.333333333333334,Premium,64.25,98.5,03073_06-09-2023-07.30,Premium,98.6
2613,Business,04040,71801,2023-09-06,7.889695318271108,2,,,,,,,03073_06-09-2023-07.30,Premium,98.6
2614,Tourist,04040,71801,2023-09-06,21.134614407091647,3,03173_06-09-2023-17.30,17.5,20.7,Básico,52.9,46.01875,03203_06-09-2023-20.40,Básico,51.13333333333334
2615,Tourist,04040,71801,2023-09-06,7.886584488763348,14,03203_06-09-2023-20.40,20.666666666666668,23.916666666666668,Básico,18.9,51.13333333333334,03203_06-09-2023-20.40,Básico,51.13333333333334
2616,Student,04040,71801,2023-09-06,19.237449111429292,3,03143_06-09-2023-14.30,14.5,18.416666666666668,Básico,83.15,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
2617,Business,04040,71801,2023-09-06,7.638101033814788,6,03083_06-09-2023-08.30,8.5,11.25,Premium,89.4,97.5,03073_06-09-2023-07.30,Premium,98.6
2618,Business,04040,71801,2023-09-06,6.177656703451863,5,03063_06-09-2023-06.30,6.5,9.333333333333334,Básico,37.8,80,03073_06-09-2023-07.30,Premium,98.6
2619,Tourist,04040,71801,2023-09-06,10.41904834260591,13,03203_06-09-2023-20.40,20.666666666666668,23.916666666666668,Básico,18.9,51.13333333333334,03203_06-09-2023-20.40,Básico,51.13333333333334
262,Business,60000,04040,2023-09-06,8.229036225941,3,03063_06-09-2023-06.30,6.5,9.333333333333334,Básico,29.45,80,03073_06-09-2023-07.30,Básico,98.6
2620,Business,04040,71801,2023-09-06,8.604027755317222,5,03063_06-09-2023-06.30,6.5,9.333333333333334,Básico,37.8,80,03073_06-09-2023-07.30,Premium,98.6
2621,Student,04040,71801,2023-09-06,16.642611194318086,2,03143_06-09-2023-14.30,14.5,18.416666666666668,Básico,83.15,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
2622,Tourist,04040,71801,2023-09-06,8.827615153169678,1,03163_06-09-2023-16.30,16.5,20.466666666666665,Básico,68.05,45.1025,03203_06-09-2023-20.40,Básico,51.13333333333334
2623,Business,04040,71801,2023-09-06,6.842544900057044,5,03063_06-09-2023-06.30,6.5,9.333333333333334,Básico,37.8,80,03073_06-09-2023-07.30,Premium,98.6
2624,Business,04040,71801,2023-09-06,9.134607216843877,5,03063_06-09-2023-06.30,6.5,9.333333333333334,Básico,37.8,80,03073_06-09-2023-07.30,Premium,98.6
